"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,30,33,33,33,33,33,33,33,33,33,34,33,32,32,32,32,31,33,34,32,33,33,33,33,31,34,33,33,33,32,33,33,32,34,33,33,33,34,31,33,33,32,33,30,31,31,33,34,33,32,31,33,33,32,33,30,33,34,34,33,33,32,33,33,32,30,32,33,31,32,31,33,34,32,32,32,31,32,31,33,32,34,31,34,31,32,31,33,33,31,32,34,33,32,31,31,34,32,30
"12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
"13",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,4,5,5,5,4,5,4
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",19,20,19,20,21,19,19,20,19,19,20,18,20,18,19,19,19,20,19,19,18,19,19,20,19,18,19,21,19,19,20,19,19,19,21,18,21,20,21,20,18,21,18,21,20,20,19,19,21,18,18,20,19,20,19,19,19,19,18,21,19,19,21,19,19,20,20,18,20,19,19,18,19,19,19,19,20,19,19,20,19,19,19,17,20,20,18,20,19,20,19,17,20,19,20,20,19,19,20,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"19",42,42,39,41,42,42,42,42,41,42,41,41,43,41,43,42,42,41,42,42,43,41,41,42,43,41,43,41,41,41,42,43,42,43,42,41,41,43,42,41,42,43,41,42,43,41,42,42,42,42,42,42,42,43,42,41,43,42,41,42,41,41,42,43,43,43,42,43,40,42,42,42,41,41,41,42,41,42,42,42,42,40,42,42,41,42,40,41,42,42,41,40,42,41,40,41,42,41,42,42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23,23,23,22,22,23,23,22,23,23,23,23,22,22,22,23,23,23,22,22,22,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,22,23,23,22,23,22,23,22,23,22,22,23,23,22,22,23,23,23,22,22,23,23,23,22,22,23,23,22,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,22,23,23,23,22,22,22,22,22,23
"21",47,47,46,46,46,47,46,47,46,47,46,47,46,45,47,46,47,46,46,47,47,46,46,47,46,46,47,45,47,47,46,47,47,47,46,47,46,47,46,47,45,47,47,47,46,47,46,47,47,46,46,46,46,47,47,47,47,47,46,47,46,47,47,47,45,47,46,46,46,47,46,47,47,46,47,46,46,47,46,46,46,46,47,47,47,46,46,47,47,46,47,47,47,47,47,47,47,46,47,47,10,12,10,10,10,12,9,12,10,10,10,11,10,10,10,12,12,12,12,10,12,12,12,10,12,10,10,12,9,12,9,10,12,10,12,10,12,9,12,10,10,10,10,12,12,12,12,12,10,10,10,12,12,10,10,10,10,10,10,10,9,12,10,12,10,12,10,10,10,10,10,12,10,12,10,12,10,12,10,12,12,10,10,9,12,12,10,10,10,12,12,12,12,10,10,11,12,10,10,12
"22",38,37,37,38,38,37,37,39,42,41,38,39,37,38,37,38,40,37,39,39,41,41,40,42,40,38,38,38,36,38,37,37,39,38,38,40,40,39,40,38,39,39,38,39,39,36,36,40,40,42,40,41,40,38,37,40,38,41,40,40,42,40,37,40,39,38,39,40,39,40,44,38,38,37,38,38,39,39,40,36,41,39,38,37,37,39,40,40,39,40,38,39,37,40,41,41,38,38,37,39,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"23",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",92,116,86,88,112,114,91,115,92,118,113,88,113,86,90,115,91,89,91,117,117,91,113,117,114,113,87,90,89,88,110,90,113,90,90,115,115,87,93,88,87,92,113,113,92,90,87,92,115,93,115,88,114,117,88,92,89,114,91,93,117,91,117,115,91,90,114,115,90,116,120,91,113,90,111,91,89,116,92,86,113,89,88,91,114,93,91,90,116,115,112,92,114,115,91,115,115,114,90,91,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"26",13,13,13,13,13,13,13,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,15,13,13,13,13,13,15,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,15,13,13,15,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,13,15,13,13,13,13,13,15,13,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,7,10,9,10,10,9,9,6,9,6,12,12,7,11,11,9,12,11,8,9,9,12,12,12,7,8,10,7,11,11,12,12,10,8,11,11,10,11,6,11,9,12,9,10,9,11,12,8,12,10,11,9,12,10,11,9,11,10,11,12,10,9,12,10,7,8,12,10,12,7,11,11,12,10,12,11,9,11,11,11,9,9,11,10,12,9,10,7,11,11,10,11,12,12,10,12,12,10
"28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",26,26,24,24,24,26,25,26,24,26,25,24,26,25,25,26,26,25,26,26,25,25,25,26,25,25,26,24,25,26,25,25,25,26,25,25,25,26,25,26,26,25,25,26,25,25,26,25,24,26,26,26,25,26,26,26,26,26,26,26,26,23,26,26,25,26,26,25,22,24,26,24,26,26,25,25,25,25,26,26,25,25,26,24,26,25,25,23,25,26,25,25,26,25,25,26,25,24,26,26,4,4,3,4,3,4,3,3,3,4,3,4,3,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,3,3,4,3,4,3,3,4,4,4,3,4,3,4,3,3,3,4,3,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3
"31",92,93,88,92,95,91,96,89,93,94,90,94,94,96,90,90,92,88,89,95,93,96,93,97,89,95,93,90,95,86,77,92,91,91,92,89,96,92,97,91,90,94,89,97,97,95,89,94,92,95,92,93,97,89,93,95,91,99,95,98,95,96,96,91,89,90,93,89,95,95,92,92,91,86,90,93,94,92,90,89,93,92,90,91,98,92,93,96,94,90,90,93,90,97,91,90,91,94,92,96,9,9,7,7,9,7,9,7,7,7,9,7,7,7,7,7,7,7,7,9,7,9,7,7,7,9,7,7,7,7,7,7,7,7,9,7,7,9,7,9,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,9,7,7,9,7,7,9,7,7,7,7,7,7,7,7,7,7,7,9,7,7,9,7,9,9,9,7,7,7,7,7,7,7,7,7,7,9,7,9
