id,fwd,bkwd,author_name
92,123,2,Guillem de Saint Leidier
93,1,1,Gausbert de Poicibot
94,1,1,Formit de Perpignan
95,1,1,Elias Fonsalada
96,11,1,Author of RS 1457
97,14,1,Albert Malaspina
98,2,2,Gautier de Coinci
99,2,1,Hilarius
100,14,1,Author of BdT 234.12
101,37,10,Elias de Barjols
102,14,1,Guillem de Cabestaing
103,2,2,Philippe le Chancellier
104,4,31,Guillem Figueira
105,3,1,Uc Brunet
106,17,2,Ademar (II) de Poitiers
107,17,3,Perdigo
108,19,1,Raimon Jordan
109,2,1,Peire de Gavaret
110,2,1,Peire de Durban
111,2,1,Author of BdT 461.148
112,3,2,Garin d'Apchier
113,5,5,Raimon VII de Toloza
114,2,1,Author of Promat chorus hodie
115,2,1,Author of Ecce letantur omnia
116,2,7,Bertran d'Aurel
117,3,1,Author of De ramis cadunt folia
118,4,1,Author of In hoc anni circulo
119,34,1,Tostemps
120,1,8,Comte
121,1,2,Guiraudo lo Ros
122,1,9,Bernart d'Auriac
123,1,8,Author of BdT 461.123c
124,1,8,Author of BdT 461.75
125,1,5,Author of BdT 461.123
126,1,23,Bertran Carbonel
127,1,5,Author of BdT 461.76a
128,1,2,La comtessa de Proensa
129,1,8,Author of BdT 461.141
130,1,2,Author of RS 646
131,1,2,Bernart Arnaut d'Armagnac
132,1,25,Raimon Gaucelm de Beziers
133,1,2,Lombarda
134,1,2,Montan Sartre
135,1,2,Thibaut II Count of Bar
136,1,2,Aldric del Vilar
137,1,2,Guillem de Saint Gregori
138,1,17,Bertolome Zorzi
139,1,19,Falquet de Romans
140,1,2,Raimon de las Salas
141,1,2,Author of BdT 461.235
142,1,23,Guillem de Mur
143,1,2,Author of BdT 461.30
144,1,17,Ademar Jordan
145,1,2,Aenac
146,1,2,Aicart
147,1,5,Aimeric de Belenoi
148,1,2,Alaisina Yselda
149,1,2,Alart de Chans
150,1,2,Alberico da Romano
151,1,5,Guillem Fabre
152,1,9,Alest
153,1,8,Alexandre
154,1,3,Alfonso X de Castilla
155,1,2,Amoros dau Luc
156,1,2,Arnaut de Cumenge
157,1,2,Austorc d'Alboy
158,1,8,Austorc d'Aorlhac
159,1,5,Author of BdT 242.52
160,1,27,Author of BdT 242.52a
161,1,3,Author of BdT 461.112
162,1,9,Guillem Raimon
163,1,8,Guiot de Dijon
164,1,5,Author of BdT 461.123b
165,1,4,Guiraut de Luc
166,1,2,Author of BdT 461.127
167,1,2,Author of BdT 461.129
168,1,2,Author of BdT 461.130
169,1,5,Author of BdT 461.135
170,1,2,Author of BdT 461.14
171,1,2,Author of BdT 461.15
172,1,11,Author of BdT 461.154
173,1,2,Author of BdT 461.159
174,1,2,Author of BdT 461.170b
175,1,2,Author of BdT 461.175a
176,1,2,Author of BdT 461.200b
177,1,2,Author of BdT 461.202
178,1,8,Author of BdT 461.204
179,1,5,Author of BdT 461.21
180,1,5,Author of BdT 461.214
181,1,5,Author of BdT 461.214a
182,1,8,Author of BdT 461.215a
183,1,3,Author of BdT 461.218a
184,1,3,Author of BdT 461.220
185,1,2,Author of BdT 461.220bis
186,1,5,Author of BdT 461.234
187,1,2,Author of BdT 461.23a
188,1,9,Author of BdT 461.24
189,1,2,Author of BdT 461.244
190,1,2,Author of BdT 461.27a
191,1,22,Lanfranc Cigala
192,1,2,Author of BdT 461.33
193,1,5,Author of BdT 461.34
194,1,2,Author of BdT 461.36
195,1,11,Author of BdT 461.43
196,1,2,Author of BdT 461.60
197,1,2,Author of BdT 461.70a
198,1,5,Author of BdT 461.74
199,1,5,Author of BdT 461.76
200,1,2,Author of BdT 461.80
201,1,2,Author of BdT 461.94
202,1,2,Author of BdT 461.96
203,1,2,Author of BdT 461.98
204,1,9,Author of BdT 82.50
205,1,2,Author of RS 1388a
206,1,2,Author of RS 1459
207,1,8,Author of RS 1506
208,1,2,Author of RS 1780
209,1,2,Author of RS 1934
210,1,2,Author of RS 365
211,1,2,Author of RS 390
212,1,2,Author of RS 898
213,1,2,Berenguier de Poivent
214,1,2,Berenguier de Poizrengier
215,1,4,Bernardo
216,1,9,Matieu de Caerci
217,1,2,Mir Bernart
218,1,9,Mola
219,1,9,Bernart de la Barta
220,1,10,Bernart de Rovenac
221,1,9,Bernart de Tot lo mon
222,1,2,Bernart Sicart de Marvejols
223,1,2,Bernger von Horheim
224,1,22,Enric II de Rodez
225,1,11,Faure
226,1,10,Folquet de Lunel
227,1,6,Bertran de Born lo fills
228,1,2,Bertran de Paris de Roergue
229,1,16,Blacasset
230,1,9,Pelizier
231,1,3,Bonafe
232,1,2,Bonafos
233,1,15,Guillem de Montaignagol
234,1,10,Bonifaci de Castellana
235,1,5,Cadenet
236,1,2,Carenza
237,1,2,Cavaire
238,1,2,Chardo
239,1,16,Charles I d'Anjou
240,1,9,Nicolet de Turin
241,1,4,Palais
242,1,10,Conon de Betune
243,1,2,Raimon
244,1,4,Dalfinet
245,1,2,Daude de Carlus
246,1,2,Duran sartor de Paernas (de Carpentras)
247,1,2,Eble de Saignas
248,1,2,Esquileta
249,1,12,Falconet
250,1,8,Felip de Valenza
251,1,5,Fortunier
252,1,10,Reforsat de Tres
253,1,2,Rofian
254,1,9,Giraut Riquier
255,1,11,Granet
256,1,2,Sifre
257,1,6,Peire de la Mula
258,1,2,Gui de Glotos
259,1,9,Peire del Vilar
260,1,5,Guilhem Alaman
261,1,2,Guillaume le Vinier
262,1,2,Guillem Anelier de Toloza
263,1,12,Marcabru II
264,1,5,Guillem de Durfort
265,1,4,Guillem de l'Olivier d'Arle
266,1,4,Tomas
267,1,8,Torcafol
268,1,2,Guillem de Salaignac
269,1,3,Joan Esteve
270,1,18,Peire Guillem de Luzerna
271,1,3,Oste
272,1,2,Uc de l'Escura
273,1,2,Guillem Gasmar
274,1,2,Guillem Magret
275,1,10,Guiraut de Salaignac
276,1,8,Hue de Saint Quentin
277,1,2,Jacme Grill
278,1,2,Peire Duran
279,1,2,Lambert
280,1,2,Lantelm
281,1,9,Lantelmet de l'Aguillo
282,1,2,Lanza Marques
283,1,2,Le Trobaire de Villa-Arnaut
284,1,2,lo Coms de Blandra
285,1,2,Lo Vesques de Clarmon
286,1,12,Peire d'Estanh
287,1,8,Luquet Gatelus
288,1,2,Maenard Ros
289,1,15,Marques
290,1,9,Raimbaut d'Eira
291,1,2,Thibaut IV de Champagne
292,1,4,Montan
293,1,2,Peire Imbert
294,1,2,Peire
295,1,2,Peire Basc
296,1,2,Uc de Maensac
297,1,2,Uc de Mataplana
298,1,2,Raimon de Castelnou
299,1,5,Raimon de Cornet
300,1,4,Peire de Bussignac
301,1,8,Vaquier
302,1,3,Rainaut
303,1,2,Peire de Castelnou
304,1,2,Richard I of England
305,1,12,Raimbaut de Beljoc
306,1,8,Perseval Doria
307,1,8,Peire Milo
308,1,2,Peire Torat
309,1,5,Raimon Bistortz d'Arle
310,1,8,Ricaut Bonomel
311,1,5,Taurel
312,1,2,Uc de Murel
